Sample:float,Data:float,Data2:float
"74160.0","20.0","16.70697593688965"
"74161.0","20.0","16.8200740814209"
"74162.0","20.0","16.9268856048584"
"74163.0","20.0","17.03998374938965"
"74164.0","20.0","17.1530818939209"
"74165.0","20.0","17.25989532470703"
"74166.0","20.0","17.37299346923828"
"74167.0","20.0","17.47980499267578"
"74168.0","20.0","17.59290313720703"
"74169.0","20.0","17.70600128173828"
"74170.0","20.0","17.812814712524414"
"74171.0","20.0","17.925912857055664"
"74172.0","20.0","18.03900909423828"
"74173.0","20.0","18.145822525024414"
"74174.0","20.0","18.258920669555664"
"74175.0","20.0","18.372018814086914"
"74176.0","20.0","18.485116958618164"
"74177.0","20.0","18.591928482055664"
"74178.0","20.0","18.705026626586914"
"74179.0","20.0","18.818124771118164"
"74180.0","20.0","18.924938201904297"
"74181.0","20.0","19.038034439086914"
"74182.0","20.0","19.151132583618164"
"74183.0","20.0","19.257946014404297"
"74184.0","20.0","19.371044158935547"
"74185.0","20.0","19.47785758972168"
"74186.0","20.0","19.590953826904297"
"74187.0","20.0","19.704051971435547"
"74188.0","20.0","19.81086540222168"
"74189.0","20.0","19.92396354675293"
"74190.0","20.0","20.030778884887695"
"74191.0","20.0","20.14387321472168"
"74192.0","20.0","20.25697135925293"
"74193.0","20.0","20.363786697387695"
"74194.0","20.0","20.476882934570312"
"74195.0","20.0","20.589981079101562"
"74196.0","20.0","20.696794509887695"
"74197.0","20.0","20.809890747070312"
"74198.0","20.0","20.922988891601562"
"74199.0","20.0","21.029804229736328"
"74200.0","0.0","21.142900466918945"
"74201.0","0.0","21.255996704101562"
"74202.0","0.0","21.356529235839844"
"74203.0","0.0","21.457059860229492"
"74204.0","0.0","21.551307678222656"
"74205.0","0.0","21.639272689819336"
"74206.0","0.0","21.714670181274414"
"74207.0","0.0","21.783784866333008"
"74208.0","0.0","21.840333938598633"
"74209.0","0.0","21.896881103515625"
"74210.0","0.0","21.94086456298828"
"74211.0","0.0","21.984846115112305"
"74212.0","0.0","22.022546768188477"
"74213.0","0.0","22.05396270751953"
"74214.0","0.0","22.07909393310547"
"74215.0","0.0","22.10422706604004"
"74216.0","0.0","22.12936019897461"
"74217.0","0.0","22.148210525512695"
"74218.0","0.0","22.160776138305664"
"74219.0","0.0","22.173343658447266"
"74220.0","0.0","22.185909271240234"
"74221.0","0.0","22.198474884033203"
"74222.0","0.0","22.211042404174805"
"74223.0","0.0","22.21732521057129"
"74224.0","0.0","22.223608016967773"
"74225.0","0.0","22.229890823364258"
"74226.0","0.0","22.236175537109375"
"74227.0","0.0","22.236175537109375"
"74228.0","0.0","22.24245834350586"
"74229.0","0.0","22.24245834350586"
"74230.0","0.0","22.248741149902344"
"74231.0","0.0","22.248741149902344"
"74232.0","0.0","22.248741149902344"
"74233.0","0.0","22.248741149902344"
"74234.0","0.0","22.248741149902344"
"74235.0","0.0","22.248741149902344"
"74236.0","0.0","22.248741149902344"
"74237.0","0.0","22.248741149902344"
"74238.0","0.0","22.24245834350586"
"74239.0","0.0","22.24245834350586"
"74240.0","0.0","22.24245834350586"
"74241.0","0.0","22.24245834350586"
"74242.0","0.0","22.24245834350586"
"74243.0","0.0","22.24245834350586"
"74244.0","0.0","22.236175537109375"
"74245.0","0.0","22.236175537109375"
"74246.0","0.0","22.236175537109375"
"74247.0","0.0","22.236175537109375"
"74248.0","0.0","22.236175537109375"
"74249.0","0.0","22.236175537109375"
"74250.0","0.0","22.236175537109375"
"74251.0","0.0","22.236175537109375"
"74252.0","0.0","22.236175537109375"
"74253.0","0.0","22.236175537109375"
"74254.0","0.0","22.236175537109375"
"74255.0","0.0","22.236175537109375"
"74256.0","0.0","22.236175537109375"
"74257.0","0.0","22.236175537109375"
"74258.0","0.0","22.236175537109375"
"74259.0","0.0","22.236175537109375"
"74260.0","0.0","22.236175537109375"
"74261.0","0.0","22.236175537109375"
"74262.0","0.0","22.236175537109375"
"74263.0","0.0","22.236175537109375"
"74264.0","0.0","22.236175537109375"
"74265.0","0.0","22.236175537109375"
"74266.0","0.0","22.236175537109375"
"74267.0","0.0","22.236175537109375"
"74268.0","0.0","22.236175537109375"
"74269.0","0.0","22.236175537109375"
"74270.0","0.0","22.236175537109375"
"74271.0","0.0","22.236175537109375"
"74272.0","0.0","22.236175537109375"
"74273.0","0.0","22.236175537109375"
"74274.0","0.0","22.236175537109375"
"74275.0","0.0","22.236175537109375"
"74276.0","0.0","22.236175537109375"
"74277.0","0.0","22.236175537109375"
"74278.0","0.0","22.236175537109375"
"74279.0","0.0","22.236175537109375"
"74280.0","0.0","22.236175537109375"
"74281.0","0.0","22.236175537109375"
"74282.0","0.0","22.236175537109375"
"74283.0","0.0","22.236175537109375"
"74284.0","0.0","22.236175537109375"
"74285.0","0.0","22.236175537109375"
"74286.0","0.0","22.236175537109375"
"74287.0","0.0","22.236175537109375"
"74288.0","0.0","22.236175537109375"
"74289.0","0.0","22.236175537109375"
"74290.0","0.0","22.236175537109375"
"74291.0","0.0","22.236175537109375"
"74292.0","0.0","22.236175537109375"
"74293.0","0.0","22.236175537109375"
"74294.0","0.0","22.236175537109375"
"74295.0","0.0","22.236175537109375"
"74296.0","0.0","22.236175537109375"
"74297.0","0.0","22.236175537109375"
"74298.0","0.0","22.236175537109375"
"74299.0","0.0","22.236175537109375"
"74300.0","0.0","22.236175537109375"
"74301.0","0.0","22.236175537109375"
"74302.0","0.0","22.236175537109375"
"74303.0","0.0","22.236175537109375"
"74304.0","0.0","22.236175537109375"
"74305.0","0.0","22.236175537109375"
"74306.0","0.0","22.236175537109375"
"74307.0","0.0","22.236175537109375"
"74308.0","0.0","22.236175537109375"
"74309.0","0.0","22.236175537109375"
"74310.0","0.0","22.236175537109375"
"74311.0","0.0","22.236175537109375"
"74312.0","0.0","22.236175537109375"
"74313.0","0.0","22.236175537109375"
"74314.0","0.0","22.236175537109375"
"74315.0","0.0","22.236175537109375"
"74316.0","0.0","22.236175537109375"
"74317.0","0.0","22.236175537109375"
"74318.0","0.0","22.236175537109375"
"74319.0","0.0","22.236175537109375"
"74320.0","0.0","22.236175537109375"
"74321.0","0.0","22.236175537109375"
"74322.0","0.0","22.236175537109375"
"74323.0","0.0","22.236175537109375"
"74324.0","0.0","22.236175537109375"
"74325.0","0.0","22.236175537109375"
"74326.0","0.0","22.236175537109375"
"74327.0","0.0","22.236175537109375"
"74328.0","0.0","22.236175537109375"
"74329.0","0.0","22.236175537109375"
"74330.0","0.0","22.236175537109375"
"74331.0","0.0","22.236175537109375"
"74332.0","0.0","22.236175537109375"
"74333.0","0.0","22.236175537109375"
"74334.0","0.0","22.236175537109375"
"74335.0","0.0","22.236175537109375"
"74336.0","0.0","22.236175537109375"
"74337.0","0.0","22.236175537109375"
"74338.0","0.0","22.236175537109375"
"74339.0","0.0","22.236175537109375"
"74340.0","0.0","22.236175537109375"
"74341.0","0.0","22.236175537109375"
"74342.0","0.0","22.236175537109375"
"74343.0","0.0","22.236175537109375"
"74344.0","0.0","22.236175537109375"
"74345.0","0.0","22.236175537109375"
"74346.0","0.0","22.236175537109375"
"74347.0","0.0","22.236175537109375"
"74348.0","0.0","22.236175537109375"
"74349.0","0.0","22.236175537109375"
"74350.0","0.0","22.236175537109375"
"74351.0","0.0","22.236175537109375"
"74352.0","0.0","22.236175537109375"
"74353.0","0.0","22.236175537109375"
"74354.0","0.0","22.236175537109375"
"74355.0","0.0","22.236175537109375"
"74356.0","0.0","22.236175537109375"
"74357.0","0.0","22.236175537109375"
"74358.0","0.0","22.236175537109375"
"74359.0","0.0","22.236175537109375"
"74360.0","0.0","22.236175537109375"
"74361.0","0.0","22.236175537109375"
"74362.0","0.0","22.236175537109375"
"74363.0","0.0","22.236175537109375"
"74364.0","0.0","22.236175537109375"
"74365.0","0.0","22.236175537109375"
"74366.0","0.0","22.236175537109375"
"74367.0","0.0","22.236175537109375"
"74368.0","0.0","22.236175537109375"
"74369.0","0.0","22.236175537109375"
"74370.0","0.0","22.236175537109375"
"74371.0","0.0","22.236175537109375"
"74372.0","0.0","22.236175537109375"
"74373.0","0.0","22.236175537109375"
"74374.0","0.0","22.236175537109375"
"74375.0","0.0","22.236175537109375"
"74376.0","0.0","22.236175537109375"
"74377.0","0.0","22.236175537109375"
"74378.0","0.0","22.236175537109375"
"74379.0","0.0","22.236175537109375"
"74380.0","0.0","22.236175537109375"
"74381.0","0.0","22.236175537109375"
"74382.0","0.0","22.236175537109375"
"74383.0","0.0","22.236175537109375"
"74384.0","0.0","22.236175537109375"
"74385.0","0.0","22.236175537109375"
