DAC,ADC
1.9939311743,2.0178222656
1.9814045429,2.0068359375
1.9671179056,1.9965820313
1.9511194229,1.9826660156
1.933460474,1.96875
1.9141983986,1.9526367188
1.8933962584,1.9343261719
1.8711246252,1.9145507813
1.847460866,1.8955078125
1.8224902153,1.8720703125
1.7963049412,1.8500976563
1.7690045834,1.8244628906
1.7406961918,1.7995605469
1.7114928961,1.7717285156
1.6815139055,1.7438964844
1.6508836746,1.7145996094
1.6197301149,1.6860351563
1.5881844759,1.6560058594
1.5563796759,1.6245117188
1.5244498253,1.5922851563
1.4925282001,1.5607910156
1.4607475996,1.5300292969
1.4292382002,1.4956054688
1.3981279135,1.46484375
1.3675404787,1.4326171875
1.3375966549,1.4018554688
1.3084130287,1.3703613281
1.2801012993,1.3403320313
1.2527683973,1.3139648438
1.2265170813,1.2817382813
1.2014453411,1.2553710938
1.1776460409,1.2290039063
1.1552073956,1.2041015625
1.1342132092,1.1806640625
1.1147426367,1.1579589844
1.0968695879,1.1374511719
1.0806626081,1.1169433594
1.066185236,1.1008300781
1.0534955263,1.0854492188
1.0426450968,1.0693359375
1.0336798429,1.0590820313
1.0266385078,1.0480957031
1.0215525627,1.0393066406
1.0184464455,1.0319824219
1.0173361301,1.0275878906
1.0182294846,1.0239257813
1.0211261511,1.0231933594
1.0260168314,1.0231933594
1.0328838825,1.0261230469
1.0417013168,1.03125
1.0524338484,1.0385742188
1.0650384426,1.0473632813
1.0794632435,1.0568847656
1.0956494808,1.0686035156
1.1135311127,1.083984375
1.1330347061,1.0993652344
1.1540802717,1.1169433594
1.1765824556,1.13671875
1.2004500628,1.1579589844
1.2255870104,1.1806640625
1.2518928051,1.2055664063
1.2792627811,1.2297363281
1.3075891733,1.2561035156
1.3367602825,1.2839355469
1.3666613102,1.3125
1.3971761465,1.341796875
1.4281855822,1.3718261719
1.4595692158,1.4025878906
1.491204977,1.4326171875
1.5229699612,1.46484375
1.5547403097,1.4963378906
1.5863922834,1.5285644531
1.6178022623,1.5607910156
1.6488467455,1.5915527344
1.6794036627,1.6223144531
1.7093522549,1.6538085938
1.7385741472,1.6838378906
1.7669532299,1.7138671875
1.7943770885,1.7424316406
1.820735693,1.7702636719
1.8459239006,1.7966308594
1.8698410988,1.822265625
1.8923925161,1.8486328125
1.9134861231,1.8728027344
1.93303895,1.8947753906
1.9509726763,1.9167480469
1.9672162533,1.9357910156
1.9817051888,1.9548339844
1.9943826199,1.9724121094
2.0051994324,1.9855957031
2.0141129494,1.9987792969
2.021089077,2.009765625
2.0261008739,2.0192871094
2.0291297436,2.0258789063
2.0301647186,2.0310058594
2.0292019844,2.0339355469
2.026247263,2.0346679688
2.0213117599,2.0339355469
2.0144162178,2.0295410156
2.0055875778,2.0251464844
1.9948604107,2.0178222656
1.9822767973,2.0075683594
1.9678863287,1.9965820313
1.9517449141,1.9841308594
1.9339157343,1.9702148438
1.914468646,1.9541015625
1.8934795856,1.9350585938
1.8710310459,1.9152832031
1.8472111225,1.8955078125
1.8221133947,1.8735351563
1.795836091,1.8493652344
1.7684834003,1.8244628906
1.7401630878,1.7980957031
1.7109867334,1.7709960938
1.6810699701,1.7431640625
1.6505311728,1.7145996094
1.6194907427,1.6853027344
1.5880717039,1.6552734375
1.5563986301,1.6245117188
1.5245969296,1.5930175781
1.4927921295,1.5607910156
1.4611108303,1.529296875
1.4296779633,1.4970703125
1.398617506,1.4641113281
1.3680522442,1.4326171875
1.338103056,1.4025878906
1.3088879585,1.37109375
1.2805219889,1.3395996094
1.2531169653,1.3117675781
1.2267807722,1.2824707031
1.2016167641,1.2546386719
1.177724123,1.2290039063
1.1551965475,1.2041015625
1.1341228485,1.1806640625
1.1145859957,1.1579589844
1.0966627598,1.1374511719
1.0804239511,1.1169433594
1.0659338236,1.1008300781
1.0532497168,1.0854492188
1.0424214602,1.0700683594
1.0334919691,1.0590820313
1.0264968872,1.0466308594
1.0214641094,1.0393066406
1.0184134245,1.0319824219
1.0173573494,1.0268554688
1.0183000565,1.0231933594
1.0212380886,1.0224609375
1.0261598825,1.0239257813
1.0330462456,1.0268554688
1.0418696404,1.0319824219
1.0525956154,1.0385742188
1.0651812553,1.0458984375
1.0795772076,1.0568847656
1.0957261324,1.0693359375
1.1135644913,1.0847167969
1.1330217123,1.1008300781
