ADC,DAC
1.0187988281,1.0362166166
1.0239257813,1.0583897829
1.0385742188,1.0881485939
1.0612792969,1.125010252
1.0905761719,1.1681195498
1.1286621094,1.2162976265
1.1682128906,1.2681090832
1.2165527344,1.3219460249
1.2685546875,1.3761234283
1.3205566406,1.4289771318
1.3725585938,1.478962183
1.4260253906,1.5247430801
1.4758300781,1.5652699471
1.5190429688,1.5998376608
1.5607910156,1.6281234026
1.5952148438,1.6501979828
1.6267089844,1.6665159464
1.6450195313,1.6778790951
1.6633300781,1.6853785515
1.6728515625,1.6903192997
1.6831054688,1.6941314936
1.6875,1.6982731819
1.6918945313,1.7041321993
1.6955566406,1.7129329443
1.7028808594,1.7256524563
1.7109375,1.7429533005
1.7248535156,1.7651362419
1.7409667969,1.7921159267
1.763671875,1.823420763
1.7893066406,1.8582178354
1.8208007813,1.8953610659
1.8559570313,1.9334588051
1.8940429688,1.9709576368
1.9291992188,2.0062367916
1.9665527344,2.0377063751
2.0009765625,2.0639061928
2.0324707031,2.0835943222
2.0595703125,2.095823288
2.0771484375,2.0999999046
2.0895996094,2.0959203243
2.0932617188,2.0837833881
2.0895996094,2.0641787052
2.0771484375,2.0380487442
2.0588378906,2.0066330433
2.033203125,1.9713900089
2.0017089844,1.9339078665
1.9672851563,1.8958079815
1.9306640625,1.8586443663
1.8947753906,1.8238123655
1.857421875,1.7924609184
1.8251953125,1.7654268742
1.7922363281,1.7431861162
1.7651367188,1.7258287668
1.7431640625,1.7130583525
1.7270507813,1.7042165995
1.7138671875,1.6983295679
1.7043457031,1.6941754818
1.6977539063,1.6903679371
1.6955566406,1.685448885
1.6904296875,1.6779874563
1.6853027344,1.6666767597
1.6779785156,1.6504224539
1.6662597656,1.6284191608
1.6494140625,1.6002082825
1.6267089844,1.5657135248
1.599609375,1.5252535343
1.5637207031,1.4795291424
1.5256347656,1.4295864105
1.4802246094,1.3767579794
1.4296875,1.3225866556
1.3762207031,1.2687356472
1.3234863281,1.2168908119
1.2707519531,1.1686611176
1.2194824219,1.1254843473
1.1704101563,1.0885434151
1.1286621094,1.0586973429
1.0920410156,1.0364333391
1.0627441406,1.0218418837
1.0407714844,1.0146161318
1.025390625,1.0140757561
1.0173339844,1.0192146301
1.0180664063,1.0287674665
1.0217285156,1.0412936211
1.03125,1.0552710295
1.0437011719,1.06919384
1.0576171875,1.0816707611
1.0708007813,1.0915135145
1.083984375,1.0978133678
1.0935058594,1.0999997854
1.0986328125,1.0978764296
1.1008300781,1.0916337967
1.0993652344,1.0818375349
1.0927734375,1.069391489
1.0795898438,1.0554801226
1.0708007813,1.0414928198
1.0576171875,1.0289340019
1.0437011719,1.0193266869
1.0319824219,1.0141130686
1.0217285156,1.0145616531
1.0173339844,1.0216830969
1.0180664063,1.036162734
1.0246582031,1.0583131313
1.0378417969,1.088050127
1.0561523438,1.124891758
1.08984375,1.1679843664
1.1271972656,1.2161494493
1.1682128906,1.267952323
1.2158203125,1.321786046
1.2692871094,1.37596488
1.3205566406,1.4288246632
1.3725585938,1.4788204432
1.4245605469,1.5246152878
1.4758300781,1.565158844
1.5197753906,1.599744916
1.5607910156,1.6280488968
1.5944824219,1.6501412392
1.6215820313,1.666475296
1.6442871094,1.6778516769
1.6640625,1.6853607893
1.6735839844,1.6903071404
1.6831054688,1.6941204071
1.6875,1.698258996
1.6918945313,1.70411098
1.6955566406,1.7129015923
